event_id,entry_time,exit_time,vehicle_type,parking_spot,location,duration_minutes,fee_amount,payment_method,user_type
1,2024-01-15 07:30:00,2024-01-15 17:45:00,car,A001,Downtown Plaza,615,24.60,credit_card,regular
2,2024-01-15 07:45:00,2024-01-15 12:30:00,motorcycle,B015,Downtown Plaza,285,5.70,mobile_app,premium
3,2024-01-15 08:00:00,2024-01-15 09:15:00,car,C032,Shopping Mall,75,3.75,cash,regular
4,2024-01-15 08:15:00,2024-01-15 18:30:00,car,A007,Downtown Plaza,615,24.60,credit_card,regular
5,2024-01-15 08:30:00,2024-01-15 11:45:00,bicycle,D050,University Campus,195,0.00,free,student
6,2024-01-15 09:00:00,2024-01-15 21:00:00,car,E025,Airport Terminal,720,45.00,credit_card,regular
7,2024-01-15 09:15:00,2024-01-15 17:00:00,van,B008,Shopping Mall,465,18.60,mobile_app,business
8,2024-01-15 09:30:00,2024-01-15 10:30:00,motorcycle,C018,Downtown Plaza,60,1.20,mobile_app,premium
9,2024-01-15 10:00:00,2024-01-15 19:30:00,car,D033,University Campus,570,11.40,student_card,student
10,2024-01-15 10:15:00,2024-01-15 14:45:00,truck,F012,Industrial Zone,270,13.50,credit_card,business
11,2024-01-15 10:30:00,2024-01-15 12:00:00,car,A015,Downtown Plaza,90,4.50,mobile_app,premium
12,2024-01-15 11:00:00,2024-01-15 16:30:00,car,G041,Hospital,330,16.50,credit_card,regular
13,2024-01-15 11:15:00,2024-01-15 13:30:00,bicycle,D055,University Campus,135,0.00,free,student
14,2024-01-15 11:30:00,2024-01-15 23:45:00,car,E031,Airport Terminal,735,50.00,credit_card,regular
15,2024-01-15 12:00:00,2024-01-15 18:15:00,car,B022,Shopping Mall,375,15.00,mobile_app,regular
16,2024-01-15 12:15:00,2024-01-15 13:00:00,motorcycle,C005,Downtown Plaza,45,0.90,mobile_app,premium
17,2024-01-15 12:30:00,2024-01-15 20:45:00,van,F018,Industrial Zone,495,24.75,credit_card,business
18,2024-01-15 13:00:00,2024-01-15 17:30:00,car,A023,Downtown Plaza,270,13.50,cash,regular
19,2024-01-15 13:15:00,2024-01-15 15:45:00,car,G028,Hospital,150,7.50,credit_card,regular
20,2024-01-15 13:30:00,2024-01-15 14:15:00,bicycle,D048,University Campus,45,0.00,free,student
21,2024-01-15 14:00:00,2024-01-15 22:30:00,car,E019,Airport Terminal,510,35.00,mobile_app,regular
22,2024-01-15 14:15:00,2024-01-15 19:00:00,car,B035,Shopping Mall,285,11.40,credit_card,regular
23,2024-01-15 14:30:00,2024-01-15 16:00:00,motorcycle,C011,Downtown Plaza,90,1.80,mobile_app,premium
24,2024-01-15 15:00:00,2024-01-15 18:45:00,truck,F025,Industrial Zone,225,11.25,credit_card,business
25,2024-01-15 15:15:00,2024-01-15 17:15:00,car,D039,University Campus,120,2.40,student_card,student
26,2024-01-16 06:45:00,2024-01-16 16:30:00,car,A002,Downtown Plaza,585,23.40,mobile_app,premium
27,2024-01-16 07:00:00,2024-01-16 11:15:00,motorcycle,B014,Downtown Plaza,255,5.10,mobile_app,premium
28,2024-01-16 07:15:00,2024-01-16 08:45:00,car,C029,Shopping Mall,90,4.50,cash,regular
29,2024-01-16 07:30:00,2024-01-16 17:45:00,car,A009,Downtown Plaza,615,24.60,credit_card,regular
30,2024-01-16 07:45:00,2024-01-16 12:00:00,bicycle,D052,University Campus,255,0.00,free,student
31,2024-01-16 08:00:00,2024-01-16 20:15:00,car,E027,Airport Terminal,735,50.00,credit_card,regular
32,2024-01-16 08:15:00,2024-01-16 16:45:00,van,B006,Shopping Mall,510,20.40,mobile_app,business
33,2024-01-16 08:30:00,2024-01-16 09:45:00,motorcycle,C016,Downtown Plaza,75,1.50,mobile_app,premium
34,2024-01-16 09:00:00,2024-01-16 18:30:00,car,D035,University Campus,570,11.40,student_card,student
35,2024-01-16 09:15:00,2024-01-16 15:00:00,truck,F014,Industrial Zone,345,17.25,credit_card,business
36,2024-01-16 09:30:00,2024-01-16 11:45:00,car,A017,Downtown Plaza,135,6.75,mobile_app,premium
37,2024-01-16 10:00:00,2024-01-16 15:30:00,car,G043,Hospital,330,16.50,credit_card,regular
38,2024-01-16 10:15:00,2024-01-16 12:30:00,bicycle,D057,University Campus,135,0.00,free,student
39,2024-01-16 10:30:00,2024-01-16 22:45:00,car,E033,Airport Terminal,735,50.00,mobile_app,regular
40,2024-01-16 11:00:00,2024-01-16 17:15:00,car,B024,Shopping Mall,375,15.00,credit_card,regular
41,2024-01-16 11:15:00,2024-01-16 12:00:00,motorcycle,C007,Downtown Plaza,45,0.90,mobile_app,premium
42,2024-01-16 11:30:00,2024-01-16 19:45:00,van,F020,Industrial Zone,495,24.75,credit_card,business
43,2024-01-16 12:00:00,2024-01-16 16:30:00,car,A025,Downtown Plaza,270,13.50,cash,regular
44,2024-01-16 12:15:00,2024-01-16 14:45:00,car,G030,Hospital,150,7.50,mobile_app,regular
45,2024-01-16 12:30:00,2024-01-16 13:15:00,bicycle,D049,University Campus,45,0.00,free,student
46,2024-01-16 13:00:00,2024-01-16 21:30:00,car,E021,Airport Terminal,510,35.00,credit_card,regular
47,2024-01-16 13:15:00,2024-01-16 18:00:00,car,B037,Shopping Mall,285,11.40,mobile_app,regular
48,2024-01-16 13:30:00,2024-01-16 15:00:00,motorcycle,C013,Downtown Plaza,90,1.80,mobile_app,premium
49,2024-01-16 14:00:00,2024-01-16 17:45:00,truck,F027,Industrial Zone,225,11.25,credit_card,business
50,2024-01-16 14:15:00,2024-01-16 16:15:00,car,D041,University Campus,120,2.40,student_card,student
51,2024-01-17 07:00:00,2024-01-17 17:15:00,car,A003,Downtown Plaza,615,24.60,mobile_app,premium
52,2024-01-17 07:15:00,2024-01-17 11:30:00,motorcycle,B013,Downtown Plaza,255,5.10,mobile_app,premium
53,2024-01-17 07:30:00,2024-01-17 09:00:00,car,C031,Shopping Mall,90,4.50,cash,regular
54,2024-01-17 07:45:00,2024-01-17 18:00:00,car,A011,Downtown Plaza,615,24.60,credit_card,regular
55,2024-01-17 08:00:00,2024-01-17 12:15:00,bicycle,D054,University Campus,255,0.00,free,student
56,2024-01-17 08:15:00,2024-01-17 20:30:00,car,E029,Airport Terminal,735,50.00,credit_card,regular
57,2024-01-17 08:30:00,2024-01-17 17:00:00,van,B004,Shopping Mall,510,20.40,mobile_app,business
58,2024-01-17 08:45:00,2024-01-17 10:00:00,motorcycle,C014,Downtown Plaza,75,1.50,mobile_app,premium
59,2024-01-17 09:00:00,2024-01-17 18:45:00,car,D037,University Campus,585,11.70,student_card,student
60,2024-01-17 09:15:00,2024-01-17 15:15:00,truck,F016,Industrial Zone,360,18.00,credit_card,business
61,2024-01-17 09:30:00,2024-01-17 12:00:00,car,A019,Downtown Plaza,150,7.50,mobile_app,premium
62,2024-01-17 10:00:00,2024-01-17 15:45:00,car,G045,Hospital,345,17.25,credit_card,regular
63,2024-01-17 10:15:00,2024-01-17 12:45:00,bicycle,D059,University Campus,150,0.00,free,student
64,2024-01-17 10:30:00,2024-01-17 23:00:00,car,E035,Airport Terminal,750,52.50,mobile_app,regular
65,2024-01-17 11:00:00,2024-01-17 17:30:00,car,B026,Shopping Mall,390,15.60,credit_card,regular
66,2024-01-17 11:15:00,2024-01-17 12:15:00,motorcycle,C009,Downtown Plaza,60,1.20,mobile_app,premium
67,2024-01-17 11:30:00,2024-01-17 20:00:00,van,F022,Industrial Zone,510,25.50,credit_card,business
68,2024-01-17 12:00:00,2024-01-17 16:45:00,car,A027,Downtown Plaza,285,14.25,cash,regular
69,2024-01-17 12:15:00,2024-01-17 15:00:00,car,G032,Hospital,165,8.25,mobile_app,regular
70,2024-01-17 12:30:00,2024-01-17 13:30:00,bicycle,D051,University Campus,60,0.00,free,student
71,2024-01-17 13:00:00,2024-01-17 22:00:00,car,E023,Airport Terminal,540,37.80,credit_card,regular
72,2024-01-17 13:15:00,2024-01-17 18:15:00,car,B039,Shopping Mall,300,12.00,mobile_app,regular
73,2024-01-17 13:30:00,2024-01-17 15:15:00,motorcycle,C015,Downtown Plaza,105,2.10,mobile_app,premium
74,2024-01-17 14:00:00,2024-01-17 18:00:00,truck,F029,Industrial Zone,240,12.00,credit_card,business
75,2024-01-17 14:15:00,2024-01-17 16:30:00,car,D043,University Campus,135,2.70,student_card,student
76,2024-01-18 07:15:00,2024-01-18 17:30:00,car,A005,Downtown Plaza,615,24.60,mobile_app,premium
77,2024-01-18 07:30:00,2024-01-18 11:45:00,motorcycle,B011,Downtown Plaza,255,5.10,mobile_app,premium
78,2024-01-18 07:45:00,2024-01-18 09:15:00,car,C033,Shopping Mall,90,4.50,cash,regular
79,2024-01-18 08:00:00,2024-01-18 18:15:00,car,A013,Downtown Plaza,615,24.60,credit_card,regular
80,2024-01-18 08:15:00,2024-01-18 12:30:00,bicycle,D056,University Campus,255,0.00,free,student
81,2024-01-18 08:30:00,2024-01-18 20:45:00,car,E031,Airport Terminal,735,50.00,credit_card,regular
82,2024-01-18 08:45:00,2024-01-18 17:15:00,van,B002,Shopping Mall,510,20.40,mobile_app,business
83,2024-01-18 09:00:00,2024-01-18 10:15:00,motorcycle,C012,Downtown Plaza,75,1.50,mobile_app,premium
84,2024-01-18 09:15:00,2024-01-18 19:00:00,car,D039,University Campus,585,11.70,student_card,student
85,2024-01-18 09:30:00,2024-01-18 15:30:00,truck,F018,Industrial Zone,360,18.00,credit_card,business
86,2024-01-18 10:00:00,2024-01-18 12:15:00,car,A021,Downtown Plaza,135,6.75,mobile_app,premium
87,2024-01-18 10:15:00,2024-01-18 16:00:00,car,G047,Hospital,345,17.25,credit_card,regular
88,2024-01-18 10:30:00,2024-01-18 13:00:00,bicycle,D061,University Campus,150,0.00,free,student
89,2024-01-18 11:00:00,2024-01-18 23:15:00,car,E037,Airport Terminal,735,50.00,mobile_app,regular
90,2024-01-18 11:15:00,2024-01-18 17:45:00,car,B028,Shopping Mall,390,15.60,credit_card,regular
91,2024-01-18 11:30:00,2024-01-18 12:30:00,motorcycle,C001,Downtown Plaza,60,1.20,mobile_app,premium
92,2024-01-18 12:00:00,2024-01-18 20:15:00,van,F024,Industrial Zone,495,24.75,credit_card,business
93,2024-01-18 12:15:00,2024-01-18 17:00:00,car,A029,Downtown Plaza,285,14.25,cash,regular
94,2024-01-18 12:30:00,2024-01-18 15:15:00,car,G034,Hospital,165,8.25,mobile_app,regular
95,2024-01-18 13:00:00,2024-01-18 13:45:00,bicycle,D053,University Campus,45,0.00,free,student
96,2024-01-18 13:15:00,2024-01-18 22:15:00,car,E025,Airport Terminal,540,37.80,credit_card,regular
97,2024-01-18 13:30:00,2024-01-18 18:30:00,car,B041,Shopping Mall,300,12.00,mobile_app,regular
98,2024-01-18 14:00:00,2024-01-18 15:30:00,motorcycle,C017,Downtown Plaza,90,1.80,mobile_app,premium
99,2024-01-18 14:15:00,2024-01-18 18:15:00,truck,F031,Industrial Zone,240,12.00,credit_card,business
100,2024-01-18 14:30:00,2024-01-18 16:45:00,car,D045,University Campus,135,2.70,student_card,student
101,2024-01-19 08:00:00,2024-01-19 10:30:00,car,A006,Downtown Plaza,150,7.50,mobile_app,premium
102,2024-01-19 10:15:00,2024-01-19 14:45:00,motorcycle,B017,Downtown Plaza,270,5.40,mobile_app,premium
103,2024-01-19 11:00:00,2024-01-19 15:30:00,car,C025,Shopping Mall,270,10.80,cash,regular
104,2024-01-19 12:30:00,2024-01-19 18:00:00,bicycle,D047,University Campus,330,0.00,free,student
105,2024-01-19 13:15:00,2024-01-19 22:30:00,car,A014,Downtown Plaza,555,22.20,credit_card,regular
106,2024-01-19 14:00:00,2024-01-19 20:45:00,van,B009,Shopping Mall,405,16.20,mobile_app,business
107,2024-01-19 15:30:00,2024-01-19 17:00:00,motorcycle,C019,Downtown Plaza,90,1.80,mobile_app,premium
108,2024-01-19 16:00:00,2024-01-19 21:15:00,car,D031,University Campus,315,6.30,student_card,student
109,2024-01-19 17:45:00,2024-01-19 19:30:00,truck,F013,Industrial Zone,105,5.25,credit_card,business
110,2024-01-19 18:30:00,2024-01-19 20:00:00,car,G026,Hospital,90,4.50,mobile_app,regular
111,2024-01-19 19:15:00,2024-01-19 23:45:00,car,E028,Airport Terminal,270,18.90,credit_card,regular
112,2024-01-19 20:00:00,2024-01-19 21:30:00,bicycle,D058,University Campus,90,0.00,free,student
113,2024-01-20 09:30:00,2024-01-20 12:00:00,car,A008,Downtown Plaza,150,7.50,mobile_app,premium
114,2024-01-20 11:15:00,2024-01-20 16:30:00,motorcycle,B019,Downtown Plaza,315,6.30,mobile_app,premium
115,2024-01-20 12:00:00,2024-01-20 17:15:00,car,C027,Shopping Mall,315,12.60,cash,regular
116,2024-01-20 13:45:00,2024-01-20 18:30:00,bicycle,D060,University Campus,285,0.00,free,student
117,2024-01-20 14:30:00,2024-01-20 23:00:00,car,A016,Downtown Plaza,510,20.40,credit_card,regular
118,2024-01-20 15:15:00,2024-01-20 21:00:00,van,B007,Shopping Mall,345,13.80,mobile_app,business
119,2024-01-20 16:45:00,2024-01-20 18:15:00,motorcycle,C021,Downtown Plaza,90,1.80,mobile_app,premium
120,2024-01-20 17:30:00,2024-01-20 22:45:00,car,D033,University Campus,315,6.30,student_card,student
121,2024-01-20 18:15:00,2024-01-20 20:00:00,truck,F015,Industrial Zone,105,5.25,credit_card,business
122,2024-01-20 19:00:00,2024-01-20 20:30:00,car,G028,Hospital,90,4.50,mobile_app,regular
123,2024-01-20 19:45:00,2024-01-20 23:30:00,car,E030,Airport Terminal,225,15.75,credit_card,regular
124,2024-01-20 20:30:00,2024-01-20 22:00:00,bicycle,D062,University Campus,90,0.00,free,student
125,2024-01-21 07:30:00,2024-01-21 17:45:00,car,A001,Downtown Plaza,615,24.60,credit_card,regular
126,2024-01-21 08:00:00,2024-01-21 12:15:00,motorcycle,B015,Downtown Plaza,255,5.10,mobile_app,premium
127,2024-01-21 08:15:00,2024-01-21 09:45:00,car,C032,Shopping Mall,90,4.50,cash,regular
128,2024-01-21 08:30:00,2024-01-21 18:45:00,car,A007,Downtown Plaza,615,24.60,credit_card,regular
129,2024-01-21 08:45:00,2024-01-21 13:00:00,bicycle,D050,University Campus,255,0.00,free,student
130,2024-01-21 09:00:00,2024-01-21 21:15:00,car,E025,Airport Terminal,735,50.00,credit_card,regular
131,2024-01-21 09:15:00,2024-01-21 17:30:00,van,B008,Shopping Mall,495,19.80,mobile_app,business
132,2024-01-21 09:30:00,2024-01-21 10:45:00,motorcycle,C018,Downtown Plaza,75,1.50,mobile_app,premium
133,2024-01-21 10:00:00,2024-01-21 19:45:00,car,D033,University Campus,585,11.70,student_card,student
134,2024-01-21 10:15:00,2024-01-21 16:00:00,truck,F012,Industrial Zone,345,17.25,credit_card,business
135,2024-01-21 10:30:00,2024-01-21 13:00:00,car,A015,Downtown Plaza,150,7.50,mobile_app,premium
136,2024-01-21 11:00:00,2024-01-21 17:15:00,car,G041,Hospital,375,18.75,credit_card,regular
137,2024-01-21 11:15:00,2024-01-21 13:45:00,bicycle,D055,University Campus,150,0.00,free,student
138,2024-01-21 11:30:00,2024-01-21 23:45:00,car,E031,Airport Terminal,735,50.00,mobile_app,regular
139,2024-01-21 12:00:00,2024-01-21 18:30:00,car,B022,Shopping Mall,390,15.60,credit_card,regular
140,2024-01-21 12:15:00,2024-01-21 13:15:00,motorcycle,C005,Downtown Plaza,60,1.20,mobile_app,premium
141,2024-01-21 12:30:00,2024-01-21 21:00:00,van,F018,Industrial Zone,510,25.50,credit_card,business
142,2024-01-21 13:00:00,2024-01-21 17:45:00,car,A023,Downtown Plaza,285,14.25,cash,regular
143,2024-01-21 13:15:00,2024-01-21 16:00:00,car,G028,Hospital,165,8.25,mobile_app,regular
144,2024-01-21 13:30:00,2024-01-21 14:30:00,bicycle,D048,University Campus,60,0.00,free,student
145,2024-01-21 14:00:00,2024-01-21 22:45:00,car,E019,Airport Terminal,525,36.75,credit_card,regular
146,2024-01-21 14:15:00,2024-01-21 19:15:00,car,B035,Shopping Mall,300,12.00,mobile_app,regular
147,2024-01-21 14:30:00,2024-01-21 16:15:00,motorcycle,C011,Downtown Plaza,105,2.10,mobile_app,premium
148,2024-01-21 15:00:00,2024-01-21 19:00:00,truck,F025,Industrial Zone,240,12.00,credit_card,business
149,2024-01-21 15:15:00,2024-01-21 17:30:00,car,D039,University Campus,135,2.70,student_card,student
150,2024-01-21 15:30:00,2024-01-21 17:00:00,car,A020,Downtown Plaza,90,4.50,mobile_app,premium
